ribs,ribs,ribs,ribs,ribs,ribs,ribs,ribs,Leire1,Leire1,Leire2,Leire2,Leire1,Leire2
su_clay,su_LC,E_clay,E_LC,L_col,L_rib,c_rib,d_rib,GURsUARatio,gammaFC,GURsUARatio,gammaFC,sUARef,sUARef
33.8,231.18,6300,75000,16.17,24.64,1.3,0.6,700,0.9,700,1.0,33.8,33.8
57.71,258.47,6300,75000,24.24,15.7,2.77,0.6,700,0.9,700,1.0,57.71,57.71
26.62,259.01,6300,75000,20.82,24.69,2.86,0.6,700,0.9,700,1.0,26.62,26.62
40.48,285.37,6300,75000,18.63,23.31,2.83,0.6,700,0.9,700,1.0,40.48,40.48
64.58,228.68,6300,75000,21.01,15.39,2.43,0.6,700,0.9,700,1.0,64.58,64.58
34.07,227.29,6300,75000,23.72,20.59,2.45,0.6,700,0.9,700,1.0,34.07,34.07
42.39,220.35,6300,75000,22.61,23.52,1.91,0.6,700,0.9,700,1.0,42.39,42.39
35.74,252.89,6300,75000,17.21,21.31,2.41,0.6,700,0.9,700,1.0,35.74,35.74
39.24,299.81,6300,75000,24.21,18.67,1.03,0.6,700,0.9,700,1.0,39.24,39.24
40.32,179.12,6300,75000,23.38,21.02,1.16,0.6,700,0.9,700,1.0,40.32,40.32
55.1,222.53,6300,75000,21.16,17.53,2.63,0.6,700,0.9,700,1.0,55.1,55.1
45.12,205.0,6300,75000,22.42,25.71,1.0,0.6,700,0.9,700,1.0,45.12,45.12
32.32,207.18,6300,75000,18.11,26.91,2.69,0.6,700,0.9,700,1.0,32.32,32.32
17.49,200.91,6300,75000,20.11,23.75,1.13,0.6,700,0.9,700,1.0,17.49,17.49
16.33,340.27,6300,75000,19.19,24.04,2.33,0.6,700,0.9,700,1.0,16.33,16.33
31.71,265.65,6300,75000,18.18,22.71,1.31,0.6,700,0.9,700,1.0,31.71,31.71
60.85,186.43,6300,75000,18.73,15.99,2.01,0.6,700,0.9,700,1.0,60.85,60.85
49.4,270.86,6300,75000,15.71,24.21,1.76,0.6,700,0.9,700,1.0,49.4,49.4
74.47,265.39,6300,75000,19.61,16.59,2.69,0.6,700,0.9,700,1.0,74.47,74.47
41.35,342.27,6300,75000,16.27,19.64,1.38,0.6,700,0.9,700,1.0,41.35,41.35
53.48,259.37,6300,75000,17.22,28.0,2.37,0.6,700,0.9,700,1.0,53.48,53.48
38.35,295.38,6300,75000,21.89,17.59,2.61,0.6,700,0.9,700,1.0,38.35,38.35
47.9,307.07,6300,75000,23.35,28.59,2.07,0.6,700,0.9,700,1.0,47.9,47.9
46.38,346.89,6300,75000,20.6,15.77,1.48,0.6,700,0.9,700,1.0,46.38,46.38
38.28,242.72,6300,75000,16.65,18.03,1.98,0.6,700,0.9,700,1.0,38.28,38.28
37.99,205.54,6300,75000,21.8,20.17,2.81,0.6,700,0.9,700,1.0,37.99,37.99
36.37,257.35,6300,75000,21.1,15.24,1.95,0.6,700,0.9,700,1.0,36.37,36.37
47.82,204.51,6300,75000,22.83,26.02,2.04,0.6,700,0.9,700,1.0,47.82,47.82
37.3,232.68,6300,75000,14.91,18.62,2.9,0.6,700,0.9,700,1.0,37.3,37.3
19.0,290.34,6300,75000,16.39,18.73,1.1,0.6,700,0.9,700,1.0,19.0,19.0
35.6,248.96,6300,75000,16.32,22.15,2.46,0.6,700,0.9,700,1.0,35.6,35.6
67.06,178.01,6300,75000,21.77,27.49,1.85,0.6,700,0.9,700,1.0,67.06,67.06
48.9,311.05,6300,75000,22.9,26.53,2.92,0.6,700,0.9,700,1.0,48.9,48.9
46.07,198.9,6300,75000,17.65,21.33,2.21,0.6,700,0.9,700,1.0,46.07,46.07
22.87,314.09,6300,75000,22.31,19.1,1.89,0.6,700,0.9,700,1.0,22.87,22.87
25.77,244.34,6300,75000,25.0,21.4,2.79,0.6,700,0.9,700,1.0,25.77,25.77
30.12,189.06,6300,75000,16.02,21.08,1.52,0.6,700,0.9,700,1.0,30.12,30.12
33.61,276.04,6300,75000,23.11,24.16,1.27,0.6,700,0.9,700,1.0,33.61,33.61
40.6,273.41,6300,75000,18.59,24.03,1.9,0.6,700,0.9,700,1.0,40.6,40.6
57.89,332.33,6300,75000,22.11,15.14,2.59,0.6,700,0.9,700,1.0,57.89,57.89
40.88,233.7,6300,75000,24.5,26.88,1.71,0.6,700,0.9,700,1.0,40.88,40.88
41.04,320.99,6300,75000,15.98,25.42,1.6,0.6,700,0.9,700,1.0,41.04,41.04
39.61,301.2,6300,75000,16.79,20.36,1.79,0.6,700,0.9,700,1.0,39.61,39.61
41.44,182.79,6300,75000,19.18,19.16,1.15,0.6,700,0.9,700,1.0,41.44,41.44
39.17,200.89,6300,75000,20.99,17.1,2.56,0.6,700,0.9,700,1.0,39.17,39.17
52.14,307.47,6300,75000,15.75,25.59,1.42,0.6,700,0.9,700,1.0,52.14,52.14
32.58,186.83,6300,75000,19.11,21.17,1.58,0.6,700,0.9,700,1.0,32.58,32.58
38.87,221.74,6300,75000,21.73,17.83,2.64,0.6,700,0.9,700,1.0,38.87,38.87
27.48,184.82,6300,75000,18.84,24.81,1.4,0.6,700,0.9,700,1.0,27.48,27.48
