ribs_su_clay,ribs_su_LC,ribs_E_clay,ribs_E_LC,ribs_L_col,ribs_L_rib,ribs_c_rib,ribs_d_rib,Leire1_GURsUARatio,Leire1_gammaFC,Leire2_GURsUARatio,Leire2_gammaFC,Leire1_sUARef,Leire2_sUARef,FoS interim,FoS end
33.8,231.18,6300,75000,16.17,24.64,1.3,0.6,700,0.9,700,1.0,33.8,33.8,1.35418021013341,2.10722515251722
57.71,258.47,6300,75000,24.24,15.7,2.77,0.6,700,0.9,700,1.0,57.71,57.71,2.04482812663674,2.83659427492415
26.62,259.01,6300,75000,20.82,24.69,2.86,0.6,700,0.9,700,1.0,26.62,26.62,1.306,1.953
40.48,285.37,6300,75000,18.63,23.31,2.83,0.6,700,0.9,700,1.0,40.48,40.48,1.644,2.34
64.58,228.68,6300,75000,21.01,15.39,2.43,0.6,700,0.9,700,1.0,64.58,64.58,2.201,3.0
34.07,227.29,6300,75000,23.72,20.59,2.45,0.6,700,0.9,700,1.0,34.07,34.07,1.541,2.191
42.39,220.35,6300,75000,22.61,23.52,1.91,0.6,700,0.9,700,1.0,42.39,42.39,1.78,2.486
35.74,252.89,6300,75000,17.21,21.31,2.41,0.6,700,0.9,700,1.0,35.74,35.74,1.459,2.137
39.24,299.81,6300,75000,24.21,18.67,1.03,0.6,700,0.9,700,1.0,39.24,39.24,1.673,2.341
40.32,179.12,6300,75000,23.38,21.02,1.16,0.6,700,0.9,700,1.0,40.32,40.32,1.713,2.394
55.1,222.53,6300,75000,21.16,17.53,2.63,0.6,700,0.9,700,1.0,55.1,55.1,1.976,2.733
45.12,205.0,6300,75000,22.42,25.71,1.0,0.6,700,0.9,700,1.0,45.12,45.12,1.898,2.603
32.32,207.18,6300,75000,18.11,26.91,2.69,0.6,700,0.9,700,1.0,32.32,32.32,1.466,2.134
17.49,200.91,6300,75000,20.11,23.75,1.13,0.6,700,0.9,700,1.0,17.49,17.49,1.007,1.636
16.33,340.27,6300,75000,19.19,24.04,2.33,0.6,700,0.9,700,1.0,16.33,16.33,0.9306,
31.71,265.65,6300,75000,18.18,22.71,1.31,0.6,700,0.9,700,1.0,31.71,31.71,1.389,2.033
60.85,186.43,6300,75000,18.73,15.99,2.01,0.6,700,0.9,700,1.0,60.85,60.85,2.014,2.855
49.4,270.86,6300,75000,15.71,24.21,1.76,0.6,700,0.9,700,1.0,49.4,49.4,1.761,2.592
74.47,265.39,6300,75000,19.61,16.59,2.69,0.6,700,0.9,700,1.0,74.47,74.47,2.444,3.242
41.35,342.27,6300,75000,16.27,19.64,1.38,0.6,700,0.9,700,1.0,41.35,41.35,1.571,2.251
53.48,259.37,6300,75000,17.22,28.0,2.37,0.6,700,0.9,700,1.0,53.48,53.48,1.956,2.774
38.35,295.38,6300,75000,21.89,17.59,2.61,0.6,700,0.9,700,1.0,38.35,38.35,1.566,2.23
47.9,307.07,6300,75000,23.35,28.59,2.07,0.6,700,0.9,700,1.0,47.9,47.9,2.04,2.736
46.38,346.89,6300,75000,20.6,15.77,1.48,0.6,700,0.9,700,1.0,46.38,46.38,1.713,2.433
38.28,242.72,6300,75000,16.65,18.03,1.98,0.6,700,0.9,700,1.0,38.28,38.28,1.463,2.112
37.99,205.54,6300,75000,21.8,20.17,2.81,0.6,700,0.9,700,1.0,37.99,37.99,1.581,2.262
36.37,257.35,6300,75000,21.1,15.24,1.95,0.6,700,0.9,700,1.0,36.37,36.37,1.462,2.122
47.82,204.51,6300,75000,22.83,26.02,2.04,0.6,700,0.9,700,1.0,47.82,47.82,1.987,2.652
37.3,232.68,6300,75000,14.91,18.62,2.9,0.6,700,0.9,700,1.0,37.3,37.3,1.418,2.101
19.0,290.34,6300,75000,16.39,18.73,1.1,0.6,700,0.9,700,1.0,19.0,19.0,0.859,
35.6,248.96,6300,75000,16.32,22.15,2.46,0.6,700,0.9,700,1.0,35.6,35.6,1.456,2.129
67.06,178.01,6300,75000,21.77,27.49,1.85,0.6,700,0.9,700,1.0,67.06,67.06,2.523,3.209
48.9,311.05,6300,75000,22.9,26.53,2.92,0.6,700,0.9,700,1.0,48.9,48.9,1.99,2.725
46.07,198.9,6300,75000,17.65,21.33,2.21,0.6,700,0.9,700,1.0,46.07,46.07,1.754,2.481
22.87,314.09,6300,75000,22.31,19.1,1.89,0.6,700,0.9,700,1.0,22.87,22.87,1.157,1.759
25.77,244.34,6300,75000,25.0,21.4,2.79,0.6,700,0.9,700,1.0,25.77,25.77,1.339,1.95
30.12,189.06,6300,75000,16.02,21.08,1.52,0.6,700,0.9,700,1.0,30.12,30.12,1.271,1.917
33.61,276.04,6300,75000,23.11,24.16,1.27,0.6,700,0.9,700,1.0,33.61,33.61,1.569,2.222
40.6,273.41,6300,75000,18.59,24.03,1.9,0.6,700,0.9,700,1.0,40.6,40.6,1.655,2.362
57.89,332.33,6300,75000,22.11,15.14,2.59,0.6,700,0.9,700,1.0,57.89,57.89,2.032,2.802
40.88,233.7,6300,75000,24.5,26.88,1.71,0.6,700,0.9,700,1.0,40.88,40.88,1.833,2.484
41.04,320.99,6300,75000,15.98,25.42,1.6,0.6,700,0.9,700,1.0,41.04,41.04,1.667,2.361
39.61,301.2,6300,75000,16.79,20.36,1.79,0.6,700,0.9,700,1.0,39.61,39.61,1.547,2.243
41.44,182.79,6300,75000,19.18,19.16,1.15,0.6,700,0.9,700,1.0,41.44,41.44,1.628,2.3
39.17,200.89,6300,75000,20.99,17.1,2.56,0.6,700,0.9,700,1.0,39.17,39.17,1.554,2.234
52.14,307.47,6300,75000,15.75,25.59,1.42,0.6,700,0.9,700,1.0,52.14,52.14,1.997,2.697
32.58,186.83,6300,75000,19.11,21.17,1.58,0.6,700,0.9,700,1.0,32.58,32.58,1.406,2.034
38.87,221.74,6300,75000,21.73,17.83,2.64,0.6,700,0.9,700,1.0,38.87,38.87,1.579,2.254
27.48,184.82,6300,75000,18.84,24.81,1.4,0.6,700,0.9,700,1.0,27.48,27.48,1.296,1.935
35.42,219.67,6300,75000,23.45,18.44,2.74,0.6,700,0.9,700,1.0,35.42,35.42,1.538,2.188
50.31,318.83,6300,75000,20.09,19.47,2.28,0.6,700,0.9,700,1.0,50.31,50.31,1.81572167632124,2.60871718688288
42.59,327.11,6300,75000,15.34,23.17,1.09,0.6,700,0.9,700,1.0,42.59,42.59,1.54768814566159,2.32732800840914
63.87,253.69,6300,75000,21.76,17.42,2.57,0.6,700,0.9,700,1.0,63.87,63.87,2.18143865413011,2.9894890605033
43.27,266.31,6300,75000,23.97,24.23,1.85,0.6,700,0.9,700,1.0,43.27,43.27,1.798,2.54
34.94,260.48,6300,75000,17.12,22.79,2.41,0.6,700,0.9,700,1.0,34.94,34.94,1.383,2.133
32.68,279.72,6300,75000,21.13,28.37,2.87,0.6,700,0.9,700,1.0,32.68,32.68,1.499,2.226
37.88,334.81,6300,75000,15.36,28.92,1.84,0.6,700,0.9,700,1.0,37.88,37.88,1.495,2.31
50.91,194.74,6300,75000,16.9,24.88,2.76,0.6,700,0.9,700,1.0,50.91,50.91,1.824,2.643
28.63,286.94,6300,75000,16.52,22.64,1.75,0.6,700,0.9,700,1.0,28.63,28.63,1.195,1.914
36.13,330.02,6300,75000,24.59,22.03,1.27,0.6,700,0.9,700,1.0,36.13,36.13,1.611,2.302
